,Winner,Turn,Strategy,Goal
539,fuchsia,32,Aggressive,LA
540,fuchsia,36,Aggressive,LA
541,fuchsia,42,Aggressive,LA
542,royalblue,38,Aggressive,BE
543,royalblue,37,Aggressive,BE
544,royalblue,33,Aggressive,BE
545,royalblue,42,Aggressive,BE
546,royalblue,39,Aggressive,BE
547,fuchsia,33,Aggressive,LA
548,royalblue,28,Aggressive,BE
549,royalblue,37,Aggressive,BE
550,royalblue,44,Aggressive,BE
551,royalblue,34,Aggressive,BE
552,royalblue,31,Aggressive,BE
553,royalblue,49,Aggressive,BE
554,fuchsia,44,Aggressive,LA
555,fuchsia,46,Aggressive,LA
556,black,44,Aggressive,PP
557,black,38,Aggressive,PP
558,royalblue,35,Aggressive,BE
559,royalblue,42,Aggressive,BE
560,royalblue,36,Aggressive,BE
561,royalblue,38,Aggressive,BE
562,royalblue,29,Aggressive,BE
563,royalblue,34,Aggressive,BE
564,royalblue,39,Aggressive,BE
565,royalblue,51,Aggressive,BE
566,royalblue,32,Aggressive,BE
567,royalblue,31,Aggressive,BE
568,fuchsia,27,Aggressive,LA
569,fuchsia,32,Aggressive,LA
570,royalblue,37,Aggressive,BE
571,royalblue,41,Aggressive,BE
572,royalblue,32,Aggressive,BE
573,black,39,Aggressive,PP
574,royalblue,47,Aggressive,BE
575,royalblue,43,Aggressive,BE
576,royalblue,45,Aggressive,BE
577,royalblue,43,Aggressive,BE
578,fuchsia,39,Aggressive,LA
579,fuchsia,29,Aggressive,LA
580,royalblue,38,Aggressive,BE
581,royalblue,36,Aggressive,BE
582,black,42,Aggressive,PP
583,royalblue,40,Aggressive,BE
584,fuchsia,27,Aggressive,LA
585,black,35,Aggressive,PP
586,fuchsia,30,Aggressive,LA
587,royalblue,40,Aggressive,BE
588,royalblue,36,Aggressive,BE
589,royalblue,36,Aggressive,BE
590,royalblue,33,Aggressive,BE
591,royalblue,47,Aggressive,BE
592,royalblue,36,Aggressive,BE
593,black,52,Aggressive,PP
594,royalblue,31,Aggressive,BE
595,royalblue,35,Aggressive,BE
596,royalblue,41,Aggressive,BE
597,fuchsia,34,Aggressive,LA
598,fuchsia,44,Aggressive,LA
599,royalblue,32,Aggressive,BE
